VFID,RAgas,DECgas,COreference,alphaCO,Mmol,Mmol_err_up,Mmol_err_down,r21,err_r21,tdep,tdep_err_up,tdep_err_down,HIreference,MHI,MHI_err_up,MHI_err_down,MH2_to_MHI,MH2_to_MHI_err_up,MH2_to_MHI_err_down,H2def,errH2def,HIdef,errHIdef,Separation,MH2,MH2_err_up,MH2_err_down,Mgas
VFID0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
