VFID,RAdeg,DEdeg,HV,Vcosmic,Vmodel,HyperLeda,NED,PGC,NSAV0,NSAV1,AGC,CO,A100,redshift
1360,168.512774,49.81904,2352,2674,2674,PGC2354409,WISEA J111402.99+494908.2,2354409.0,,,,False,False,0.0089
1361,220.625906,49.81511,2960,3297,3297,PGC166187,PGC1 0166187 NED001,166187.0,165439.0,682850.0,,False,False,0.011
1362,177.002373,49.80832,924,868,1238,UGC06773,UGC 06773,36825.0,140267.0,627331.0,,False,False,0.0029
1363,131.024583,49.7939,1721,2013,2013,UGC04551,UGC 04551,24528.0,135464.0,622889.0,,True,False,0.0067
1364,177.862105,49.79282,1196,1574,1574,PGC2832085,WISEA J115127.33+494733.7,2832085.0,38544.0,185140.0,,False,False,0.0053
1365,173.510255,49.73727,2890,3196,3196,SDSSJ113402.44+494413.8,WISEA J113402.44+494413.9,4011110.0,38325.0,184546.0,,False,False,0.0107
1366,163.759676,49.72617,1371,1823,1730,UGC06029,UGC 06029,32800.0,138340.0,625547.0,,False,False,0.0061
1367,164.706672,49.71609,832,1102,1102,PGC2351264,WISEA J105849.54+494257.9,2351264.0,32347.0,157618.0,,False,False,0.0037
1368,221.232468,49.71401,2937,3274,3274,PGC052664,SBS 1443+499,52664.0,165494.0,683037.0,,False,False,0.0109
1369,132.479151,49.67046,3079,3333,3333,PGC3131999,WISEA J084955.01+494013.1,3131999.0,16066.0,78046.0,,False,False,0.0111
1370,217.457555,49.62262,2324,2785,2681,NGC5660,NGC 5660,51795.0,165091.0,208800.0,,False,False,0.0093
1371,228.88374,49.62052,2523,2874,2874,PGC091426,FGC 1874,91426.0,53629.0,261586.0,,False,False,0.0096
1372,218.389361,49.62009,2416,2770,2770,SDSSJ143333.47+493712.1,WISEA J143333.46+493712.0,4016204.0,43195.0,209132.0,,False,False,0.0092
1373,173.423405,49.59928,3057,3357,3357,SDSSJ113341.60+493557.2,SDSS J113341.60+493557.2,3473096.0,38433.0,184795.0,,False,False,0.0112
1374,181.535652,49.58277,1115,1503,1488,NGC4100,NGC 4100,38370.0,161045.0,665481.0,,True,False,0.005
1375,179.99055,49.56423,1125,1497,1497,PGC037814,MCG +08-22-051,37814.0,160873.0,664787.0,,False,False,0.005
1376,217.090373,49.56145,670,948,948,PGC051694,CGCG 247-031,51694.0,43127.0,208814.0,,False,False,0.0032
1377,131.844697,49.5587,3043,3296,3296,UGC04587,UGC 04587,24688.0,,,,False,False,0.011
1378,197.792518,49.52524,2502,2844,2844,PGC2345555,SBS 1309+497,2345555.0,51152.0,248062.0,,False,False,0.0095
1379,112.575792,49.51978,3061,3297,3297,UGC03881,UGC 03881,21162.0,,,,False,False,0.011
