Galaxy,Dist,n_Dist,log(D25),e_log(D25),COtrans,l_SCOD,SCOD,e_SCOD,fap,FWHM,e_FWHM,l_log(L'CO),log(L'CO),E_log(L'CO),e_log(L'CO),n_log(L'CO),l_r21,r21,e_r21,l_log(MH2),log(MH2),E_log(MH2),e_log(MH2)
NGC6267,53.05,a,1.11,0.04,2-->1,,14.53,1.82,0.21,0,0,,8.08,0.05,0.06,,,0.00,0.00,,0.00,0.00,0.00
NGC6276,40.74,,0.81,0.08,1-->0,,3.44,0.96,0.72,0,0,,7.29,0.11,0.14,,<,0.00,0.00,,7.92,0.11,0.14
NGC6276,40.74,,0.81,0.08,2-->1,<,3.00,0.00,0.44,0,0,<,6.84,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC6278,37.03,a,1.24,0.04,1-->0,<,7.16,0.00,0.49,0,0,<,7.69,0.00,0.00,,,0.00,0.00,<,8.33,0.00,0.00
NGC6278,37.03,a,1.24,0.04,2-->1,<,14.82,0.00,0.26,0,0,<,7.68,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC6306,44.96,,1.12,0.05,1-->0,,36.00,1.68,0.58,0,0,,8.49,0.02,0.02,,,0.00,0.04,,9.12,0.02,0.02
NGC6306,44.96,,1.12,0.05,2-->1,,61.70,1.85,0.33,0,0,,8.37,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
UGC10721,47.18,a,1.10,0.04,1-->0,,25.30,2.50,0.51,0,0,,8.43,0.04,0.05,,,0.00,0.11,,9.06,0.04,0.05
UGC10721,47.18,a,1.10,0.04,2-->1,,36.62,4.08,0.25,0,0,,8.30,0.05,0.05,,,0.00,0.00,,0.00,0.00,0.00
UGC10968,43.32,,0.72,0.09,1-->0,,3.14,1.27,0.85,0,0,,7.23,0.15,0.22,b,,0.00,0.62,,8.02,0.13,0.19
UGC10968,43.32,,0.72,0.09,2-->1,,10.84,3.80,0.63,0,0,,7.29,0.13,0.19,b,,0.00,0.00,,0.00,0.00,0.00
PGC038859,36.01,,0.81,0.12,1-->0,,1.80,0.78,0.74,0,0,,6.89,0.16,0.25,b,,0.00,0.48,,7.54,0.14,0.21
PGC038859,36.01,,0.81,0.12,2-->1,,3.79,1.46,0.47,0,0,,6.81,0.14,0.21,b,,0.00,0.00,,0.00,0.00,0.00
UGC07143,38.36,,1.00,0.04,1-->0,,3.44,1.26,0.64,0,0,,7.29,0.14,0.20,b,,0.00,0.30,,7.89,0.07,0.08
UGC07143,38.36,,1.00,0.04,2-->1,,5.95,1.04,0.37,0,0,,7.16,0.07,0.08,,,0.00,0.00,,0.00,0.00,0.00
UGC07039,39.28,a,0.89,0.06,1-->0,<,4.30,0.00,0.71,0,0,<,7.36,0.00,0.00,,,0.00,0.00,<,7.99,0.00,0.00
UGC07039,39.28,a,0.89,0.06,2-->1,<,11.12,0.00,0.44,0,0,<,7.38,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC214137,41.00,,0.40,0.42,1-->0,,7.59,1.34,0.95,0,0,,7.52,0.07,0.08,,,0.00,0.07,,8.15,0.07,0.08
PGC214137,41.00,,0.40,0.42,2-->1,,5.94,1.51,0.84,0,0,,6.86,0.10,0.13,,,0.00,0.00,,0.00,0.00,0.00
NGC5240,44.67,a,1.26,0.03,1-->0,,10.15,1.43,0.33,0,0,,8.17,0.06,0.07,,<,0.00,0.00,,8.81,0.06,0.07
NGC5240,44.67,a,1.26,0.03,2-->1,<,7.41,0.00,0.14,0,0,<,7.82,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5089,48.57,a,0.98,0.05,1-->0,,9.36,2.04,0.60,0,0,,7.95,0.09,0.11,,,0.00,0.11,,8.58,0.09,0.11
NGC5089,48.57,a,0.98,0.05,2-->1,,6.96,1.49,0.33,0,0,,7.49,0.08,0.10,,,0.00,0.00,,0.00,0.00,0.00
IC0777,55.76,a,0.92,0.06,1-->0,,15.25,1.96,0.71,0,0,,8.21,0.05,0.06,,,0.00,0.09,,8.85,0.05,0.06
IC0777,55.76,a,0.92,0.06,2-->1,,24.30,1.38,0.44,0,0,,8.02,0.02,0.03,,,0.00,0.00,,0.00,0.00,0.00
